city_name,country,x,y
Old Vista,Europe,1.7431920250979858,0.0712507154115389
Beachport,Europe,1.6414933370304257,-0.014981009182347549
Valleyborough,Europe,2.411045702897333,-0.3202040157395606
City,Europe,1.7481504107032866,-0.7585282211503737
Falls,Europe,3.07870731853388,0.971713770637251
North Falls,Europe,2.2623857267622434,-0.017074917374513294
Hillhaven,Europe,1.4579388487036709,-1.7606288540680193
Gardenton,Europe,1.67622148934218,-0.7465896487547277
Springsville,Europe,3.3301479995264907,0.38368785133227684
North Ridge,Europe,0.8789060205970138,0.4209475790455131
Ridgeshire,Europe,0.4134697461078905,-0.49855776421889536
Forestville,Europe,1.3794886331244705,0.3761961235758033
Garden,Europe,0.8195379176275263,0.1467737486695387
Bridge,Europe,-0.7439673415354932,-0.25946714293754014
Port Bridge,Europe,1.503128565225333,0.4162458249845198
Stone,Europe,2.1203964824136925,1.0866045013011454
Riverburg,Europe,0.8437518300707807,1.3005804849896865
Gardenburg,Europe,0.27460692018082167,-0.9806756088291215
Pointborough,Europe,0.2193162962496377,-0.5174481035984618
Parkland,Europe,0.4875262414416083,-1.5387961447608012
Cityport,Europe,0.7080000973242802,-0.3461306075364026
Cityhaven,Europe,1.5851234768140567,-0.8536522915793092
San Wood,Europe,2.724129810247659,0.11987375795877492
Harborshire,Europe,-1.0986249103088,-1.3044991330117115
East Valley,Europe,3.86758364523499,-0.2426801101363546
Valleyburg,Europe,0.4334086940078037,-0.7423487623369777
Point,Europe,2.7627533583025325,0.5297359494901751
Woodshire,Europe,0.02851349044500896,0.4439688819403477
New Wood,Europe,1.7314341031818747,-1.3746750577122617
Port Beach,Europe,2.7152210266854326,0.42008698166669173
Fallshaven,Europe,0.3217228438060879,-0.09936414133569356
Vistaland,Europe,1.5452314297498164,-0.6381446544928171
San Vista,Europe,2.3343717968365083,-0.579885916219561
Bayport,Europe,0.198040369409584,-0.5747912688105841
Field,Europe,2.3351720620024796,-0.6953992926830972
North Harbor,Europe,1.5649038304776406,1.139921588339726
Forestshire,Europe,0.2126816091234514,1.1893144003471132
Springs,Europe,0.6033369123951176,-1.1680131517730963
Mount City,Europe,-0.09086293963097848,-0.027939719171957957
River,Europe,2.0896979544963172,-0.23008131641596224
Port Springs,Europe,1.002597094614775,-0.3133565066855159
Hill,Europe,1.4671051476923098,-0.34622295995854374
New Park,Europe,2.1309498906742332,-0.3823926532900065
Lake Town,Europe,2.7436238751348925,-0.8618958756663456
Wood,Europe,1.4023734991910253,-0.3664227228388717
Townland,Europe,0.2557740907389271,-0.27244314119801094
Town,Europe,2.5821235557132454,0.5661848614952879
Woodland,Europe,1.4379645863617458,-0.8864563575681808
Pointland,Europe,2.4478052595825774,-0.02114318571399771
San Harbor,Europe,2.025671098994043,0.3478102912071536
